호선,역명,구분,할인,시간대,이용량
2,을지로입구,승차,일반,04시-05시,423
2,을지로입구,승차,우대권,04시-05시,699
2,을지로입구,하차,일반,04시-05시,8
2,을지로입구,하차,우대권,04시-05시,4
2,구로디지털단지,승차,일반,04시-05시,1801
2,구로디지털단지,승차,우대권,04시-05시,1214
2,구로디지털단지,하차,일반,04시-05시,50
2,구로디지털단지,하차,우대권,04시-05시,57
3,압구정,승차,일반,04시-05시,430
3,압구정,승차,우대권,04시-05시,101
3,압구정,하차,일반,04시-05시,5
3,압구정,하차,우대권,04시-05시,8
7,남구로,승차,일반,04시-05시,158
7,남구로,승차,우대권,04시-05시,42
7,남구로,하차,일반,04시-05시,4
7,남구로,하차,우대권,04시-05시,0
7,철산,승차,일반,04시-05시,62
7,철산,승차,우대권,04시-05시,46
7,철산,하차,일반,04시-05시,0
7,철산,하차,우대권,04시-05시,0
2,을지로입구,승차,일반,05시-06시,17724
2,을지로입구,승차,우대권,05시-06시,7290
2,을지로입구,하차,일반,05시-06시,16731
2,을지로입구,하차,우대권,05시-06시,7867
2,구로디지털단지,승차,일반,05시-06시,363362
2,구로디지털단지,승차,우대권,05시-06시,80588
2,구로디지털단지,하차,일반,05시-06시,57869
2,구로디지털단지,하차,우대권,05시-06시,20624
3,압구정,승차,일반,05시-06시,19514
3,압구정,승차,우대권,05시-06시,13998
3,압구정,하차,일반,05시-06시,8278
3,압구정,하차,우대권,05시-06시,15602
7,남구로,승차,일반,05시-06시,173133
7,남구로,승차,우대권,05시-06시,36963
7,남구로,하차,일반,05시-06시,13228
7,남구로,하차,우대권,05시-06시,8012
7,철산,승차,일반,05시-06시,83250
7,철산,승차,우대권,05시-06시,36250
7,철산,하차,일반,05시-06시,34251
7,철산,하차,우대권,05시-06시,17143
2,을지로입구,승차,일반,06시-07시,27536
2,을지로입구,승차,우대권,06시-07시,7042
2,을지로입구,하차,일반,06시-07시,236900
2,을지로입구,하차,우대권,06시-07시,38339
2,구로디지털단지,승차,일반,06시-07시,505173
2,구로디지털단지,승차,우대권,06시-07시,74096
2,구로디지털단지,하차,일반,06시-07시,218525
2,구로디지털단지,하차,우대권,06시-07시,50519
3,압구정,승차,일반,06시-07시,52336
3,압구정,승차,우대권,06시-07시,34621
3,압구정,하차,일반,06시-07시,147028
3,압구정,하차,우대권,06시-07시,96430
7,남구로,승차,일반,06시-07시,137345
7,남구로,승차,우대권,06시-07시,32225
7,남구로,하차,일반,06시-07시,57763
7,남구로,하차,우대권,06시-07시,18482
7,철산,승차,일반,06시-07시,259803
7,철산,승차,우대권,06시-07시,44978
7,철산,하차,일반,06시-07시,90237
7,철산,하차,우대권,06시-07시,28266
2,을지로입구,승차,일반,07시-08시,74458
2,을지로입구,승차,우대권,07시-08시,8099
2,을지로입구,하차,일반,07시-08시,1265061
2,을지로입구,하차,우대권,07시-08시,45181
2,구로디지털단지,승차,일반,07시-08시,1423069
2,구로디지털단지,승차,우대권,07시-08시,77664
2,구로디지털단지,하차,일반,07시-08시,788314
2,구로디지털단지,하차,우대권,07시-08시,67859
